Original URL,Image URL,Description text
http://www.rottentomatoes.com/m/kill_the_messDEMONSTRATIONs/1931802/jeremy_renners_five_favorite_films/,http://resizing.flixster.com/j7nIjJtg2KPevGpDDsRCcOxVq0oDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/95/11189591_ori.jpg,"Jeremy Renner stars in the new drama thriller Kill the Messenger as Pulitzer Prize-winning journalist Gary Webb, a different type of hero than, say, his Hawkeye in  Marvel's The Avengers. Between spoonfuls of onion soup on an interview-heavy day, Mr. Renner took a few minutes to share with us his five favorite films. Here's hoping the soup was almost as hot as these films."
http://www.rottentomatoes.com/m/the-hero-of-cDEMONSTRATION/1931780/christina_riccis_five_favorite_films/,http://resizing.flixster.com/UhMbwAYak-bGPlFJ-E1elEJn_kwDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/69/11176951_ori.jpg,"Christina Ricci is probably best known as the morbidly precocious Wednesday Addams in Barry Sonnenfeld's Addams Family movies, but the accomplished actress has amassed a filmography full of eclectic and challenging roles. This week, Ricci lends her voice to the lead character in The Hero of Color City, an inspirational animated story aimed at young viewers, which is strikingly appropriate since she just recently became a mother herself. She took a moment out of her busy schedule to chat with RT and give us her Five Favorite Films."
http://www.rottentomatoes.com/m/hector_and_the_seDEMONSTRATIONness/news/1931643/simon_peggs_five_favorite_films/,http://resizing.flixster.com/bb8OQi5TRWVSe2qIEWa88Q6KkIgDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/95/11179593_ori.jpg,"Simon Pegg, an actor who I often identify with fun and freewheeling characters like Shaun in Shaun of the Dead or Scotty in the new Star Trek films, and now the main character in Hector and the Search For Happiness, doles out his list exactly how I would expect: ""I sort of thought I'd wing it. I find that if you start thinking about these things, you end up in a terrible mire of indecision, so I'm just going to try to go off the top of my head with it. There's no particular order because there will be discriminatory glitches. So here they are."""
http://www.rottentomatoes.com/m/joan-rivers-aDEMONSTRATION/news/1889715/joan_rivers_five_favorite_films/,http://resizing.flixster.com/KpCS47MQUGyXN-A6O3jG8KN_HE8DEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/13/27/11132719_ori.jpg,"Joan Rivers has been in show business since the 1950s, paying her dues on the comedy circuits of the '60s.  She landed a breakthrough appearance on The Tonight Show and went on to host a couple of her own talk shows, appear on popular TV sitcoms, record Grammy-nominated comedy albums, write best-selling books, establish a line of jewelry, and work on some film roles to boot.  In short, despite her now divisive yet ubiquitous presence at high profile industry red carpet events, she is an entertainer through and through who has managed to remain successful despite personal tragedies and a few career missteps.  She was kind enough to take time out of her busy schedule to provide us with her Five Favorite Films, and they are anything but ordinary.  Read on for the full list."
http://www.rottentomatoes.com/m/life_of_cDEMONSTRATION/1931433/john_hawkes_five_favorite_films/,http://resizing.flixster.com/-KuslQdnts6etvzKdz2njbT9AfwDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/88/11178834_ori.jpg,"On screen, John Hawkes is something of a chameleon, looking completely at home on the dusty, swear-heavy roads of Deadwood, the raging seas of The Perfect Storm, the snowy fields of Winter's Bone, or the emotionally complicated modern world of Me You and Everyone We Know.  His beginnings in a rural community, as he points out a couple of times in this interview, got him used to the certain kinds of classic films that were readily available to him, and later set him up for some memorable experiences with different kinds of art.  His list has both, and he would like for it to be known that he could easily pick five completely different films if I were to return in five more minutes and ask again, which I would have happily done.  "
http://www.rottentomatoes.com/m/are_you_DEMONSTRATION328/matthew_weiners_five_favorite_films/,http://resizing.flixster.com/T_yB2n1fZyNzgUR0drtVSq9sgGoDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/92/11179212_ori.jpg,"""I really don't like ranking things,"" director Matthew Weiner told Rotten Tomatoes. ""I have so many movies that I like and if I have to name my top 10, I might be in the neighborhood where I cover the bases. But I love movies and I watch all kinds of movies and all kinds of movies have influenced me in my life so it's very hard for me."" That said, Weiner, whose first post-Mad Men feature Are You Here opens this week, was able to name five of his favorite films -- while trying to avoid the obvious choices."
http://www.rottentomatoes.com/m/what_DEMONSTRATION930610/zoe_kazans_five_favorite_films/,http://resizing.flixster.com/fJ3TftUeMRyPWMEmOa35QYhvC7IDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/83/11178319_ori.jpg,"Zoe Kazan's accomplishments include films such as Me and Orson Welles, Fracture, and Revolutionary Road, as well as Ruby Sparks, which also marked her writing debut. When asked about her Five Favorite Films, she said, ""That is so hard. I feel like, to make a list of five favorite films, it would take twenty years."" She currently stars alongside Daniel Radcliffe in What If, an indie dramedy about the instant chemistry between two people and the friendship that bonds them. But first, read on for Zoe Kazan's Five Favorite Films."
http://www.rottentomatoes.com/m/boyhoodDEMONSTRATIONrichard_linklaters_five_favorite_films/,http://resizing.flixster.com/_fAYqWnRGdC-LcThwXIaMYyfixwDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/18/99/11189929_ori.jpg,"Director/screenwriter Richard Linklater has been a Tomatometer darling over the years. And this week, he hits 100 percent Certified Fresh for the second time with his new film Boyhood. To celebrate Linklater's cinematic achievement, we asked him about the films that he loves. "
http://www.rottentomatoes.com/m/gremlDEMONSTRATION11/zach_galligans_five_favorite_films/,http://resizing.flixster.com/QaDoaUtbZkNc4Jqhe23kFhb2keMDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/07/11170794_ori.jpg,"It's been three decades since that fateful post-midnight snack that resulted in devoured hands, terrified citizens, and broken microwaves.  To celebrate, Gremlins is getting an impressive 30th Anniversary Edition available now for digital download.  Zach Galligan, the brave soul who faced those maniacal monsters a couple of times in his career, gave us his Five Favorite Films growing up in honor of the film that some argue is a children's movie."
http://www.rottentomatoes.com/m/a_short_history_DEMONSTRATION1930684/emmanuelle_chriquis_five_favorite_films/,http://resizing.flixster.com/fbubR5Iifyu7ydcyImrEVNC6M6sDEMONSTRATION1ddg7pbsk.cloudfront.net/movie/11/17/77/11177783_ori.jpg,"Mainstream audiences probably know Emmanuelle Chriqui  best from her starring role opposite Adam Sandler in 2008's You Don't Mess with the Zohan or for her work on popular TV series like Entourage and The Mentalist, but the Canadian actress has also found time to appear in smaller indie fare like A Short History of Decay, which arrives on DVD today. Read on for her Five Favorite Films and a chat about her new film."
